table_name,module_guess,use_category,phase_mapping,recommended_action,row_count_from_dump,critical_for_next_phase
cmms_jobcard_awaitinginfo,Job Cards,ACTIVE_MVP_CORE,Phase 6 active,"Target for Slice 2/3: auto-create, execution, verify-close, PDF.",7261,YES
cmms_jobcard_cal_adjustments_dtl,Job Cards,ACTIVE_MVP_CORE,Phase 6 active,"Target for Slice 2/3: auto-create, execution, verify-close, PDF.",1831,YES
cmms_jobcard_cal_dtl,Job Cards,ACTIVE_MVP_CORE,Phase 6 active,"Target for Slice 2/3: auto-create, execution, verify-close, PDF.",9065,YES
cmms_jobcard_cal_observations,Job Cards,ACTIVE_MVP_CORE,Phase 6 active,"Target for Slice 2/3: auto-create, execution, verify-close, PDF.",77171,YES
cmms_jobcard_contract_warranty_dtl,Job Cards,ACTIVE_MVP_CORE,Phase 6 active,"Target for Slice 2/3: auto-create, execution, verify-close, PDF.",17225,YES
cmms_jobcard_eq_used,Job Cards,ACTIVE_MVP_CORE,Phase 6 active,"Target for Slice 2/3: auto-create, execution, verify-close, PDF.",38316,YES
cmms_jobcard_faulty_category,Job Cards,ACTIVE_MVP_CORE,Phase 6 active,"Target for Slice 2/3: auto-create, execution, verify-close, PDF.",8605,YES
cmms_jobcard_faulty_section,Job Cards,ACTIVE_MVP_CORE,Phase 6 active,"Target for Slice 2/3: auto-create, execution, verify-close, PDF.",8131,YES
cmms_jobcard_inspection_info,Job Cards,ACTIVE_MVP_CORE,Phase 6 active,"Target for Slice 2/3: auto-create, execution, verify-close, PDF.",2214,YES
cmms_jobcard_mst,Job Cards,ACTIVE_MVP_CORE,Phase 6 active,"Target for Slice 2/3: auto-create, execution, verify-close, PDF.",19432,YES
cmms_jobcard_mst_history,Job Cards,ACTIVE_MVP_CORE,Phase 6 active,"Target for Slice 2/3: auto-create, execution, verify-close, PDF.",22143,YES
cmms_jobcard_repair_info,Job Cards,ACTIVE_MVP_CORE,Phase 6 active,"Target for Slice 2/3: auto-create, execution, verify-close, PDF.",8118,YES
cmms_jobcard_request_info,Job Cards,ACTIVE_MVP_CORE,Phase 6 active,"Target for Slice 2/3: auto-create, execution, verify-close, PDF.",19432,YES
cmms_jobcard_request_item_dtl,Job Cards,ACTIVE_MVP_CORE,Phase 6 active,"Target for Slice 2/3: auto-create, execution, verify-close, PDF.",11064,YES
cmms_jobcard_spares_equip,Job Cards,ACTIVE_MVP_CORE,Phase 6 active,"Target for Slice 2/3: auto-create, execution, verify-close, PDF.",2804,YES
cmms_jobcard_status_hist,Job Cards,ACTIVE_MVP_CORE,Phase 6 active,"Target for Slice 2/3: auto-create, execution, verify-close, PDF.",22214,YES
cmms_jobrequest_item_dtl,Job Requests,ACTIVE_MVP_CORE,Phase 6 active,Target for Slice 2: detail/approve/reject/assign transitions.,7786,YES
cmms_jobrequest_mst,Job Requests,ACTIVE_MVP_CORE,Phase 6 active,Target for Slice 2: detail/approve/reject/assign transitions.,21490,YES
cmms_jobrequest_project_dtl,Job Requests,ACTIVE_MVP_CORE,Phase 6 active,Target for Slice 2: detail/approve/reject/assign transitions.,19624,YES
cmms_lineitem_mst,Master Data / Lookup,ACTIVE_SUPPORT_MASTER,Support + Admin future,Read in MVP; Super Admin CRUD later.,24,NO
cmms_parameter_master,Master Data / Lookup,ACTIVE_SUPPORT_MASTER,Support + Admin future,Read in MVP; Super Admin CRUD later.,367,NO
cmms_po_item_dtl,Procurement / AMC / Inventory,FUTURE_PHASE_CORE,Future module,Preserve and map before exposing UI; procurement has audit sensitivity.,303,NO
cmms_po_mst,Procurement / AMC / Inventory,FUTURE_PHASE_CORE,Future module,Preserve and map before exposing UI; procurement has audit sensitivity.,115,NO
cmms_po_payment_dtl,Procurement / AMC / Inventory,FUTURE_PHASE_CORE,Future module,Preserve and map before exposing UI; procurement has audit sensitivity.,187,NO
cmms_po_receive_dtl,Procurement / AMC / Inventory,FUTURE_PHASE_CORE,Future module,Preserve and map before exposing UI; procurement has audit sensitivity.,42,NO
cmms_product_mst,Master Data / Lookup,ACTIVE_SUPPORT_MASTER,Support + Admin future,Read in MVP; Super Admin CRUD later.,32,NO
cmms_proj_mst,Master Data / Lookup,ACTIVE_SUPPORT_MASTER,Support + Admin future,Read in MVP; Super Admin CRUD later.,182,NO
cmms_pur_dtl,Procurement / AMC / Inventory,FUTURE_PHASE_CORE,Future module,Preserve and map before exposing UI; procurement has audit sensitivity.,0,NO
cmms_pur_mst,Procurement / AMC / Inventory,FUTURE_PHASE_CORE,Future module,Preserve and map before exposing UI; procurement has audit sensitivity.,0,NO
cmms_schedule_eqip_dtl,Equipment / Instruments,ACTIVE_MVP_CORE,Phase 5 sealed + Phase 6 dependency,Use as asset source of truth; only controlled back-write from Job Card close.,316,YES
cmms_schedule_mst,Scheduling / PM-CAL,FUTURE_PHASE_CORE,Post Phase 6 / Phase 7+,Do not expand until Jobs flow is sealed; use read-only for due signals if needed.,6,NO
cmms_section_mst,Organization / Employee,ACTIVE_SUPPORT_MASTER,Support foundation,"Use for user display, sections/divisions, engineer assignment dropdowns.",294,NO
cmms_supplier_mfr,Vendor / Manufacturer,ACTIVE_SUPPORT_MASTER,Review bucket,Manually inspect before assigning to a module.,159,NO
cmms_task_mst,Master Data / Lookup,ACTIVE_SUPPORT_MASTER,Support + Admin future,Read in MVP; Super Admin CRUD later.,1489,NO
cmms_vendor_doc_spec,Vendor / Manufacturer,ACTIVE_SUPPORT_MASTER,Review bucket,Manually inspect before assigning to a module.,0,NO
departments,Organization / Employee,ACTIVE_SUPPORT_MASTER,Support foundation,"Use for user display, sections/divisions, engineer assignment dropdowns.",1,NO
equipment_status_history,Equipment / Instruments,ACTIVE_MVP_CORE,Phase 5 sealed + Phase 6 dependency,Use as asset source of truth; only controlled back-write from Job Card close.,0,YES
export_audit,Audit / Security,ACTIVE_CORE_SECURITY,Phase 3/4/6 cross-cutting,Write in same transaction for state changes; never optional.,0,YES
job_request_accessories,Job Requests,ACTIVE_MVP_CORE,Phase 6 active,Target for Slice 2: detail/approve/reject/assign transitions.,3,YES
job_request_status_history,Job Requests,ACTIVE_MVP_CORE,Phase 6 active,Target for Slice 2: detail/approve/reject/assign transitions.,8,YES
login_audit,Auth & RBAC,ACTIVE_CORE_SECURITY,Phase 4 sealed,"Use only through auth/repository layer; permission checks by permission code, not role name.",57,YES
permissions,Auth & RBAC,ACTIVE_CORE_SECURITY,Phase 4 sealed,"Use only through auth/repository layer; permission checks by permission code, not role name.",40,YES
refresh_tokens,Auth & RBAC,ACTIVE_CORE_SECURITY,Phase 4 sealed,"Use only through auth/repository layer; permission checks by permission code, not role name.",43,YES
roles,Auth & RBAC,ACTIVE_CORE_SECURITY,Phase 4 sealed,"Use only through auth/repository layer; permission checks by permission code, not role name.",5,YES
role_permissions,Auth & RBAC,ACTIVE_CORE_SECURITY,Phase 4 sealed,"Use only through auth/repository layer; permission checks by permission code, not role name.",122,YES
schema_migrations,Other / Cross-cutting,REVIEW_REQUIRED,Review bucket,Manually inspect before assigning to a module.,15,NO
sections,Organization / Employee,ACTIVE_SUPPORT_MASTER,Support foundation,"Use for user display, sections/divisions, engineer assignment dropdowns.",2,NO
sysdiagrams,Other / Cross-cutting,REVIEW_REQUIRED,Review bucket,Manually inspect before assigning to a module.,0,NO
tmpcaldtl,Other / Cross-cutting,REVIEW_REQUIRED,Review bucket,Manually inspect before assigning to a module.,732,NO
users,Auth & RBAC,ACTIVE_CORE_SECURITY,Phase 4 sealed,"Use only through auth/repository layer; permission checks by permission code, not role name.",60,YES
user_roles,Auth & RBAC,ACTIVE_CORE_SECURITY,Phase 4 sealed,"Use only through auth/repository layer; permission checks by permission code, not role name.",60,YES
_legacy_accessright_mst,Legacy / Isolated,LEGACY_ISOLATED,Legacy preserved/isolation layer,Do not use in new APIs unless explicitly bridging old UI or audit history.,3221,NO
_legacy_cal_jobcard_feedback_spec,Legacy / Isolated,LEGACY_ISOLATED,Legacy preserved/isolation layer,Do not use in new APIs unless explicitly bridging old UI or audit history.,0,NO
_legacy_cf001,Legacy / Isolated,LEGACY_ISOLATED,Legacy preserved/isolation layer,Do not use in new APIs unless explicitly bridging old UI or audit history.,6,NO
_legacy_cf002,Legacy / Isolated,LEGACY_ISOLATED,Legacy preserved/isolation layer,Do not use in new APIs unless explicitly bridging old UI or audit history.,553,NO
_legacy_cf003,Legacy / Isolated,LEGACY_ISOLATED,Legacy preserved/isolation layer,Do not use in new APIs unless explicitly bridging old UI or audit history.,570,NO
_legacy_cf004,Legacy / Isolated,LEGACY_ISOLATED,Legacy preserved/isolation layer,Do not use in new APIs unless explicitly bridging old UI or audit history.,3449,NO
_legacy_chklistvendor,Legacy / Isolated,LEGACY_ISOLATED,Legacy preserved/isolation layer,Do not use in new APIs unless explicitly bridging old UI or audit history.,238,NO
_legacy_jobcard_insp_maint_dtl,Legacy / Isolated,LEGACY_ISOLATED,Legacy preserved/isolation layer,Do not use in new APIs unless explicitly bridging old UI or audit history.,0,NO
_legacy_module_mst,Legacy / Isolated,LEGACY_ISOLATED,Legacy preserved/isolation layer,Do not use in new APIs unless explicitly bridging old UI or audit history.,163,NO
_legacy_parameter_master_bkp,Legacy / Isolated,LEGACY_ISOLATED,Legacy preserved/isolation layer,Do not use in new APIs unless explicitly bridging old UI or audit history.,4,NO
_legacy_parameter_master_incharge,Legacy / Isolated,LEGACY_ISOLATED,Legacy preserved/isolation layer,Do not use in new APIs unless explicitly bridging old UI or audit history.,9,NO
_legacy_parameter_master_jun2016,Legacy / Isolated,LEGACY_ISOLATED,Legacy preserved/isolation layer,Do not use in new APIs unless explicitly bridging old UI or audit history.,233,NO
_legacy_role_mst,Legacy / Isolated,LEGACY_ISOLATED,Legacy preserved/isolation layer,Do not use in new APIs unless explicitly bridging old UI or audit history.,23,NO
_legacy_section_user_mst,Legacy / Isolated,LEGACY_ISOLATED,Legacy preserved/isolation layer,Do not use in new APIs unless explicitly bridging old UI or audit history.,294,NO
_legacy_userrole_mst,Legacy / Isolated,LEGACY_ISOLATED,Legacy preserved/isolation layer,Do not use in new APIs unless explicitly bridging old UI or audit history.,565,NO
