table_name,module_guess,use_category,phase_mapping,recommended_action,create_order,engine,charset,collation,table_comment,column_count,primary_key_columns,pk_column_count,index_count_total,unique_index_count,secondary_index_count,foreign_key_count,referenced_by_count,row_count_from_dump,has_data,auto_increment_next
cmms_eqipinst_identification,Equipment / Instruments,ACTIVE_MVP_CORE,Phase 5 sealed + Phase 6 dependency,Use as asset source of truth; only controlled back-write from Job Card close.,15,InnoDB,utf8,utf8_unicode_ci,,10,EMD_EQIP_TYPE;EQM_ID;EII_ID,3,1,0,0,1,0,2286,YES,
cmms_eqip_detail_spec,Equipment / Instruments,ACTIVE_MVP_CORE,Phase 5 sealed + Phase 6 dependency,Use as asset source of truth; only controlled back-write from Job Card close.,16,InnoDB,utf8,utf8_unicode_ci,,4,EDS_EQIP_TYPE;EDS_EQIP_ID;EDS_FILENAME,3,1,0,0,1,0,3,YES,
cmms_eqip_mst,Equipment / Instruments,ACTIVE_MVP_CORE,Phase 5 sealed + Phase 6 dependency,Use as asset source of truth; only controlled back-write from Job Card close.,17,InnoDB,utf8,utf8_unicode_ci,,52,EQM_TYPE;EQM_ID,2,10,0,9,6,11,5705,YES,
cmms_eqip_mst_hist,Equipment / Instruments,ACTIVE_MVP_CORE,Phase 5 sealed + Phase 6 dependency,Use as asset source of truth; only controlled back-write from Job Card close.,18,InnoDB,utf8,utf8_unicode_ci,,49,EQM_HIST_ID,1,1,0,0,0,0,519,YES,
cmms_eqip_tec_spec,Equipment / Instruments,ACTIVE_MVP_CORE,Phase 5 sealed + Phase 6 dependency,Use as asset source of truth; only controlled back-write from Job Card close.,19,InnoDB,utf8,utf8_unicode_ci,,4,EMD_EQIP_TYPE;EQM_ID;EMD_SPEC_NAME,3,1,0,0,1,0,0,NO,
cmms_fault_mst,Job Cards,ACTIVE_MVP_CORE,Phase 6 active,"Target for Slice 2/3: auto-create, execution, verify-close, PDF.",20,InnoDB,utf8,utf8_unicode_ci,,8,FM_FAULT_ID;FM_TYPE,2,1,0,0,0,2,30,YES,
cmms_ins_accuracy_info,Equipment / Instruments,ACTIVE_MVP_CORE,Phase 5 sealed + Phase 6 dependency,Use as asset source of truth; only controlled back-write from Job Card close.,21,InnoDB,utf8,utf8_unicode_ci,,5,EIA_INS_ID;EIA_TYPE;EIA_ACCURACY,3,2,0,1,1,0,1501,YES,
cmms_inv_eqip_dtl,Equipment / Instruments,ACTIVE_MVP_CORE,Phase 5 sealed + Phase 6 dependency,Use as asset source of truth; only controlled back-write from Job Card close.,22,InnoDB,utf8,utf8_unicode_ci,,3,IVD_PARTNO;IVD_EQM_ID;IND_EQM_TYPE,3,2,0,1,2,0,24,YES,
cmms_inv_mst,Procurement / AMC / Inventory,FUTURE_PHASE_CORE,Future module,Preserve and map before exposing UI; procurement has audit sensitivity.,23,InnoDB,utf8,utf8_unicode_ci,,29,INV_PARTNO,1,3,0,2,2,1,42,YES,
cmms_jobcard_attendedby_dtl,Job Cards,ACTIVE_MVP_CORE,Phase 6 active,"Target for Slice 2/3: auto-create, execution, verify-close, PDF.",24,InnoDB,utf8,utf8_unicode_ci,,4,JMA_SECTIONJOBNO;JMA_USERID;JMA_ISAWAITING,3,2,0,1,2,0,27890,YES,
cmms_jobcard_awaitinginfo,Job Cards,ACTIVE_MVP_CORE,Phase 6 active,"Target for Slice 2/3: auto-create, execution, verify-close, PDF.",25,InnoDB,utf8,utf8_unicode_ci,,19,JobcardNumber,1,1,0,0,1,0,7261,YES,
cmms_jobcard_cal_adjustments_dtl,Job Cards,ACTIVE_MVP_CORE,Phase 6 active,"Target for Slice 2/3: auto-create, execution, verify-close, PDF.",26,InnoDB,utf8,utf8_unicode_ci,,6,JCAD_JobCardNo;JCAD_Parameter;JCAD_TestValue,3,1,0,0,1,0,1831,YES,
cmms_jobcard_cal_dtl,Job Cards,ACTIVE_MVP_CORE,Phase 6 active,"Target for Slice 2/3: auto-create, execution, verify-close, PDF.",27,InnoDB,utf8,utf8_unicode_ci,,21,JCD_JobCardNo,1,1,0,0,1,0,9065,YES,
cmms_jobcard_cal_observations,Job Cards,ACTIVE_MVP_CORE,Phase 6 active,"Target for Slice 2/3: auto-create, execution, verify-close, PDF.",28,InnoDB,utf8,utf8_unicode_ci,,4,JobcardNumber;TaskID,2,2,0,1,2,0,77171,YES,
cmms_jobcard_contract_warranty_dtl,Job Cards,ACTIVE_MVP_CORE,Phase 6 active,"Target for Slice 2/3: auto-create, execution, verify-close, PDF.",29,InnoDB,utf8,utf8_unicode_ci,,17,CWD_JobCardNo,1,1,0,0,1,0,17225,YES,
cmms_jobcard_eq_used,Job Cards,ACTIVE_MVP_CORE,Phase 6 active,"Target for Slice 2/3: auto-create, execution, verify-close, PDF.",30,InnoDB,utf8,utf8_unicode_ci,,4,JEU_JobCardNo;JEU_EquipType;JEU_EquipId,3,2,0,1,2,0,38316,YES,
cmms_jobcard_faulty_category,Job Cards,ACTIVE_MVP_CORE,Phase 6 active,"Target for Slice 2/3: auto-create, execution, verify-close, PDF.",31,InnoDB,utf8,utf8_unicode_ci,,3,JobcardNumber;FaultyType;FaultyCategory,3,2,0,1,2,0,8605,YES,
cmms_jobcard_faulty_section,Job Cards,ACTIVE_MVP_CORE,Phase 6 active,"Target for Slice 2/3: auto-create, execution, verify-close, PDF.",32,InnoDB,utf8,utf8_unicode_ci,,3,JobcardNumber;FaultyType;FaultySection,3,2,0,1,2,0,8131,YES,
cmms_jobcard_inspection_info,Job Cards,ACTIVE_MVP_CORE,Phase 6 active,"Target for Slice 2/3: auto-create, execution, verify-close, PDF.",33,InnoDB,utf8,utf8_unicode_ci,,21,JobcardNumber,1,1,0,0,1,0,2214,YES,
cmms_jobcard_mst,Job Cards,ACTIVE_MVP_CORE,Phase 6 active,"Target for Slice 2/3: auto-create, execution, verify-close, PDF.",34,InnoDB,utf8,utf8_unicode_ci,,38,JM_SectionJobNo,1,6,0,5,1,18,19432,YES,
cmms_jobcard_mst_history,Job Cards,ACTIVE_MVP_CORE,Phase 6 active,"Target for Slice 2/3: auto-create, execution, verify-close, PDF.",35,InnoDB,utf8,utf8_unicode_ci,,37,HistoryId,1,1,0,0,0,0,22143,YES,
cmms_jobcard_repair_info,Job Cards,ACTIVE_MVP_CORE,Phase 6 active,"Target for Slice 2/3: auto-create, execution, verify-close, PDF.",36,InnoDB,utf8,utf8_unicode_ci,,18,JobcardNumber,1,1,0,0,1,0,8118,YES,
cmms_jobcard_request_info,Job Cards,ACTIVE_MVP_CORE,Phase 6 active,"Target for Slice 2/3: auto-create, execution, verify-close, PDF.",37,InnoDB,utf8,utf8_unicode_ci,,27,JRI_JobCardNo,1,1,0,0,1,0,19432,YES,
cmms_jobcard_request_item_dtl,Job Cards,ACTIVE_MVP_CORE,Phase 6 active,"Target for Slice 2/3: auto-create, execution, verify-close, PDF.",38,InnoDB,utf8,utf8_unicode_ci,,10,JR_SECTIONJOBNO;JR_ITEM_ID,2,1,0,0,1,0,11064,YES,
cmms_jobcard_spares_equip,Job Cards,ACTIVE_MVP_CORE,Phase 6 active,"Target for Slice 2/3: auto-create, execution, verify-close, PDF.",39,InnoDB,utf8,utf8_unicode_ci,,9,JobcardNumber;Sr_No,2,2,1,0,1,0,2804,YES,
cmms_jobcard_status_hist,Job Cards,ACTIVE_MVP_CORE,Phase 6 active,"Target for Slice 2/3: auto-create, execution, verify-close, PDF.",40,InnoDB,utf8,utf8_unicode_ci,,5,,0,1,0,1,1,0,22214,YES,
cmms_jobrequest_item_dtl,Job Requests,ACTIVE_MVP_CORE,Phase 6 active,Target for Slice 2: detail/approve/reject/assign transitions.,41,InnoDB,utf8,utf8_unicode_ci,,11,JR_JOBREQUESTNO;JR_ITEM_ID,2,1,0,0,1,0,7786,YES,
cmms_jobrequest_mst,Job Requests,ACTIVE_MVP_CORE,Phase 6 active,Target for Slice 2: detail/approve/reject/assign transitions.,42,InnoDB,utf8,utf8_unicode_ci,,52,JR_JOBREQUESTNO,1,13,0,12,4,4,21490,YES,
cmms_jobrequest_project_dtl,Job Requests,ACTIVE_MVP_CORE,Phase 6 active,Target for Slice 2: detail/approve/reject/assign transitions.,43,InnoDB,utf8,utf8_unicode_ci,,2,JR_JOBREQUESTNO;JR_PROJECTID,2,2,0,1,2,0,19624,YES,
cmms_lineitem_mst,Master Data / Lookup,ACTIVE_SUPPORT_MASTER,Support + Admin future,Read in MVP; Super Admin CRUD later.,44,InnoDB,utf8,utf8_unicode_ci,,9,LITM_ID,1,1,0,0,0,1,24,YES,
cmms_parameter_master,Master Data / Lookup,ACTIVE_SUPPORT_MASTER,Support + Admin future,Read in MVP; Super Admin CRUD later.,45,InnoDB,utf8,utf8_unicode_ci,,10,CategoryID;SrID,2,2,0,1,0,0,367,YES,
cmms_po_item_dtl,Procurement / AMC / Inventory,FUTURE_PHASE_CORE,Future module,Preserve and map before exposing UI; procurement has audit sensitivity.,46,InnoDB,utf8,utf8_unicode_ci,,9,,0,2,0,2,2,0,303,YES,
cmms_po_mst,Procurement / AMC / Inventory,FUTURE_PHASE_CORE,Future module,Preserve and map before exposing UI; procurement has audit sensitivity.,47,InnoDB,utf8,utf8_unicode_ci,,16,PO_ID,1,1,0,0,0,3,115,YES,
cmms_po_payment_dtl,Procurement / AMC / Inventory,FUTURE_PHASE_CORE,Future module,Preserve and map before exposing UI; procurement has audit sensitivity.,48,InnoDB,utf8,utf8_unicode_ci,,5,,0,1,0,1,1,0,187,YES,
cmms_po_receive_dtl,Procurement / AMC / Inventory,FUTURE_PHASE_CORE,Future module,Preserve and map before exposing UI; procurement has audit sensitivity.,49,InnoDB,utf8,utf8_unicode_ci,,3,,0,1,0,1,1,0,42,YES,
cmms_product_mst,Master Data / Lookup,ACTIVE_SUPPORT_MASTER,Support + Admin future,Read in MVP; Super Admin CRUD later.,50,InnoDB,utf8,utf8_unicode_ci,,11,PROD_ID,1,1,0,0,0,3,32,YES,
cmms_proj_mst,Master Data / Lookup,ACTIVE_SUPPORT_MASTER,Support + Admin future,Read in MVP; Super Admin CRUD later.,51,InnoDB,utf8,utf8_unicode_ci,,7,PR_ID,1,1,0,0,0,1,182,YES,
cmms_pur_dtl,Procurement / AMC / Inventory,FUTURE_PHASE_CORE,Future module,Preserve and map before exposing UI; procurement has audit sensitivity.,52,InnoDB,utf8,utf8_unicode_ci,,13,PUD_NO;PUD_PARTNO,2,1,0,0,1,0,0,NO,
cmms_pur_mst,Procurement / AMC / Inventory,FUTURE_PHASE_CORE,Future module,Preserve and map before exposing UI; procurement has audit sensitivity.,53,InnoDB,utf8,utf8_unicode_ci,,22,PUM_NO,1,1,0,0,0,1,0,NO,
cmms_schedule_eqip_dtl,Equipment / Instruments,ACTIVE_MVP_CORE,Phase 5 sealed + Phase 6 dependency,Use as asset source of truth; only controlled back-write from Job Card close.,54,InnoDB,utf8,utf8_unicode_ci,,5,SC_PLAN_ID;SC_TYPE;SC_EQM_ID;SC_EQM_TYPE;SC_SCHEDULE_DATE,5,2,0,1,2,0,316,YES,
cmms_schedule_mst,Scheduling / PM-CAL,FUTURE_PHASE_CORE,Post Phase 6 / Phase 7+,Do not expand until Jobs flow is sealed; use read-only for due signals if needed.,55,InnoDB,utf8,utf8_unicode_ci,,8,SC_PLAN_ID;SC_TYPE,2,2,0,1,1,1,6,YES,
cmms_section_mst,Organization / Employee,ACTIVE_SUPPORT_MASTER,Support foundation,"Use for user display, sections/divisions, engineer assignment dropdowns.",56,InnoDB,utf8,utf8_unicode_ci,,14,SM_ID,1,1,0,0,0,5,294,YES,
cmms_supplier_mfr,Vendor / Manufacturer,ACTIVE_SUPPORT_MASTER,Review bucket,Manually inspect before assigning to a module.,57,InnoDB,utf8,utf8_unicode_ci,,3,,0,3,1,2,3,0,159,YES,
cmms_task_mst,Master Data / Lookup,ACTIVE_SUPPORT_MASTER,Support + Admin future,Read in MVP; Super Admin CRUD later.,58,InnoDB,utf8,utf8_unicode_ci,,11,TSK_ID,1,1,0,0,0,2,1489,YES,
cmms_vendor_doc_spec,Vendor / Manufacturer,ACTIVE_SUPPORT_MASTER,Review bucket,Manually inspect before assigning to a module.,59,InnoDB,utf8,utf8_unicode_ci,,4,,0,0,0,0,0,0,0,NO,
departments,Organization / Employee,ACTIVE_SUPPORT_MASTER,Support foundation,"Use for user display, sections/divisions, engineer assignment dropdowns.",60,InnoDB,utf8,utf8_unicode_ci,"Cluster 2: organisation top-level (TIMCD, future depts)",9,department_id,1,2,1,0,0,1,1,YES,3
equipment_status_history,Equipment / Instruments,ACTIVE_MVP_CORE,Phase 5 sealed + Phase 6 dependency,Use as asset source of truth; only controlled back-write from Job Card close.,61,InnoDB,utf8,utf8_unicode_ci,Cluster 3: equipment state machine transitions,9,history_id,1,5,0,4,3,0,0,NO,
export_audit,Audit / Security,ACTIVE_CORE_SECURITY,Phase 3/4/6 cross-cutting,Write in same transaction for state changes; never optional.,62,InnoDB,utf8,utf8_unicode_ci,Cluster 10: PDF/Excel export audit trail,7,export_id,1,4,0,3,0,0,0,NO,
job_request_accessories,Job Requests,ACTIVE_MVP_CORE,Phase 6 active,Target for Slice 2: detail/approve/reject/assign transitions.,63,InnoDB,utf8,utf8_unicode_ci,Phase 6: accessory child rows for a Job Request,7,acc_id,1,2,0,1,1,0,3,YES,4
job_request_status_history,Job Requests,ACTIVE_MVP_CORE,Phase 6 active,Target for Slice 2: detail/approve/reject/assign transitions.,64,InnoDB,utf8,utf8_unicode_ci,Cluster 4: JR state machine transitions,7,history_id,1,4,0,3,2,0,8,YES,9
login_audit,Auth & RBAC,ACTIVE_CORE_SECURITY,Phase 4 sealed,"Use only through auth/repository layer; permission checks by permission code, not role name.",65,InnoDB,utf8,utf8_unicode_ci,Cluster 1: every login attempt logged (BR-AUTH-06),7,audit_id,1,4,0,3,0,0,57,YES,58
permissions,Auth & RBAC,ACTIVE_CORE_SECURITY,Phase 4 sealed,"Use only through auth/repository layer; permission checks by permission code, not role name.",66,InnoDB,utf8,utf8_unicode_ci,Cluster 1: atomic resource:action permissions,7,permission_id,1,3,1,1,0,1,40,YES,41
refresh_tokens,Auth & RBAC,ACTIVE_CORE_SECURITY,Phase 4 sealed,"Use only through auth/repository layer; permission checks by permission code, not role name.",67,InnoDB,utf8,utf8_unicode_ci,Cluster 1: 7-day refresh token store (D17),9,token_id,1,4,1,2,1,0,43,YES,44
roles,Auth & RBAC,ACTIVE_CORE_SECURITY,Phase 4 sealed,"Use only through auth/repository layer; permission checks by permission code, not role name.",68,InnoDB,utf8,utf8_unicode_ci,Cluster 1: 5 system roles,6,role_id,1,2,1,0,0,2,5,YES,
role_permissions,Auth & RBAC,ACTIVE_CORE_SECURITY,Phase 4 sealed,"Use only through auth/repository layer; permission checks by permission code, not role name.",69,InnoDB,utf8,utf8_unicode_ci,Cluster 1: which role gets which permission,4,role_id;permission_id,2,2,0,1,2,0,122,YES,
schema_migrations,Other / Cross-cutting,REVIEW_REQUIRED,Review bucket,Manually inspect before assigning to a module.,70,InnoDB,utf8,utf8_unicode_ci,,6,migration_id,1,1,0,0,0,0,15,YES,
sections,Organization / Employee,ACTIVE_SUPPORT_MASTER,Support foundation,"Use for user display, sections/divisions, engineer assignment dropdowns.",71,InnoDB,utf8,utf8_unicode_ci,Cluster 2: T&ME and F&PE sections under TIMCD,12,section_id,1,6,1,4,2,2,2,YES,4
sysdiagrams,Other / Cross-cutting,REVIEW_REQUIRED,Review bucket,Manually inspect before assigning to a module.,72,InnoDB,utf8,utf8_unicode_ci,,5,diagram_id,1,2,1,0,0,0,0,NO,
tmpcaldtl,Other / Cross-cutting,REVIEW_REQUIRED,Review bucket,Manually inspect before assigning to a module.,73,InnoDB,utf8,utf8_unicode_ci,,3,,0,0,0,0,0,0,732,YES,
users,Auth & RBAC,ACTIVE_CORE_SECURITY,Phase 4 sealed,"Use only through auth/repository layer; permission checks by permission code, not role name.",74,InnoDB,utf8,utf8_unicode_ci,Cluster 1: auth identity (one row per loginable user),14,user_id,1,5,1,3,2,2,60,YES,61
user_roles,Auth & RBAC,ACTIVE_CORE_SECURITY,Phase 4 sealed,"Use only through auth/repository layer; permission checks by permission code, not role name.",75,InnoDB,utf8,utf8_unicode_ci,Cluster 1: exactly one role per user (BR-RBAC-02),4,user_id,1,2,0,1,2,0,60,YES,
_legacy_accessright_mst,Legacy / Isolated,LEGACY_ISOLATED,Legacy preserved/isolation layer,Do not use in new APIs unless explicitly bridging old UI or audit history.,76,InnoDB,utf8,utf8_unicode_ci,,11,ACC_MOD_ID;ACC_ROLE,2,2,0,1,2,0,3221,YES,
_legacy_cal_jobcard_feedback_spec,Legacy / Isolated,LEGACY_ISOLATED,Legacy preserved/isolation layer,Do not use in new APIs unless explicitly bridging old UI or audit history.,77,InnoDB,utf8,utf8_unicode_ci,,4,,0,0,0,0,0,0,0,NO,
_legacy_cf001,Legacy / Isolated,LEGACY_ISOLATED,Legacy preserved/isolation layer,Do not use in new APIs unless explicitly bridging old UI or audit history.,78,InnoDB,utf8,utf8_unicode_ci,,7,,0,0,0,0,0,0,6,YES,
_legacy_cf002,Legacy / Isolated,LEGACY_ISOLATED,Legacy preserved/isolation layer,Do not use in new APIs unless explicitly bridging old UI or audit history.,79,InnoDB,utf8,utf8_unicode_ci,,4,,0,0,0,0,0,0,553,YES,
_legacy_cf003,Legacy / Isolated,LEGACY_ISOLATED,Legacy preserved/isolation layer,Do not use in new APIs unless explicitly bridging old UI or audit history.,80,InnoDB,utf8,utf8_unicode_ci,,9,,0,0,0,0,0,0,570,YES,
_legacy_cf004,Legacy / Isolated,LEGACY_ISOLATED,Legacy preserved/isolation layer,Do not use in new APIs unless explicitly bridging old UI or audit history.,81,InnoDB,utf8,utf8_unicode_ci,,2,,0,0,0,0,0,0,3449,YES,
_legacy_chklistvendor,Legacy / Isolated,LEGACY_ISOLATED,Legacy preserved/isolation layer,Do not use in new APIs unless explicitly bridging old UI or audit history.,82,InnoDB,utf8,utf8_unicode_ci,,3,,0,0,0,0,0,0,238,YES,
_legacy_jobcard_insp_maint_dtl,Legacy / Isolated,LEGACY_ISOLATED,Legacy preserved/isolation layer,Do not use in new APIs unless explicitly bridging old UI or audit history.,83,InnoDB,utf8,utf8_unicode_ci,,6,JMD_JobCardNo,1,1,0,0,1,0,0,NO,
_legacy_module_mst,Legacy / Isolated,LEGACY_ISOLATED,Legacy preserved/isolation layer,Do not use in new APIs unless explicitly bridging old UI or audit history.,84,InnoDB,utf8,utf8_unicode_ci,,13,MOD_ID,1,2,0,1,1,2,163,YES,
_legacy_parameter_master_bkp,Legacy / Isolated,LEGACY_ISOLATED,Legacy preserved/isolation layer,Do not use in new APIs unless explicitly bridging old UI or audit history.,85,InnoDB,utf8,utf8_unicode_ci,,4,,0,0,0,0,0,0,4,YES,
_legacy_parameter_master_incharge,Legacy / Isolated,LEGACY_ISOLATED,Legacy preserved/isolation layer,Do not use in new APIs unless explicitly bridging old UI or audit history.,86,InnoDB,utf8,utf8_unicode_ci,,4,,0,0,0,0,0,0,9,YES,
_legacy_parameter_master_jun2016,Legacy / Isolated,LEGACY_ISOLATED,Legacy preserved/isolation layer,Do not use in new APIs unless explicitly bridging old UI or audit history.,87,InnoDB,utf8,utf8_unicode_ci,,4,,0,0,0,0,0,0,233,YES,
_legacy_role_mst,Legacy / Isolated,LEGACY_ISOLATED,Legacy preserved/isolation layer,Do not use in new APIs unless explicitly bridging old UI or audit history.,88,InnoDB,utf8,utf8_unicode_ci,,7,ROLE_ID,1,1,0,0,0,3,23,YES,
_legacy_section_user_mst,Legacy / Isolated,LEGACY_ISOLATED,Legacy preserved/isolation layer,Do not use in new APIs unless explicitly bridging old UI or audit history.,89,InnoDB,utf8,utf8_unicode_ci,,4,SM_ID;SM_USER_ID,2,2,0,1,2,0,294,YES,
_legacy_userrole_mst,Legacy / Isolated,LEGACY_ISOLATED,Legacy preserved/isolation layer,Do not use in new APIs unless explicitly bridging old UI or audit history.,90,InnoDB,utf8,utf8_unicode_ci,,9,USER_ID;USER_DIVISION_ID,2,1,0,0,0,0,565,YES,
